timestamp,reportingGroup,locationName,value,unit
08/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
09/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
10/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
11/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,20,1,kWh
12/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,30,560000000000006,kWh
13/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,1,3000000000000003,kWh
14/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,1,3300000000000003,kWh
15/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,16,72,kWh
16/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,15,219999999999995,kWh
17/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,1,3100000000000003,kWh
18/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
19/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
20/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,0,kWh
21/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,1,2900000000000005,kWh
22/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,21,560000000000006,kWh
23/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,14,269999999999996,kWh
24/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,21,98000000000001,kWh
25/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,11,929999999999998,kWh
26/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,50,72,kWh
27/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,1,2900000000000005,kWh
28/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,1,3100000000000003,kWh
29/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,11,629999999999997,kWh
30/01/2019 0.00.00,Electricity,1000 Hakaniemen kauppahalli,12,629999999999997,kWh
